name,email,phone,address,experience_years,rating,popularity,accessibility,reliability,legal_issues
Kar-Pal Foundation,krishuppal@bora.com,02362226160,"143, Nadig Marg, Nagercoil-375321",13,3.39,high,easy,low,FIR_denial
"Agarwal, Venkataraman and Hari Foundation",leena96@bhatti.net,+919192743777,"43/943, Pandit Street, Navi Mumbai-490487",41,3.7,high,moderate,medium,cyber_bullying|property_dispute
Gokhale Group Foundation,eshanabala@borah.com,06227925114,"50/76, Chaudhary Nagar, Nizamabad 159872",13,3.41,low,difficult,high,FIR_denial|cyber_bullying|cyber_crime
"Bhattacharyya, Bumb and Wadhwa Foundation",yash23@nadig-mangat.com,03502506443,"H.No. 00, Singh Ganj, Silchar 055512",7,3.66,high,moderate,medium,property_dispute|cyber_bullying|bribery_corruption
Deshmukh Ltd Foundation,hpatla@padmanabhan.com,+914815358712,"H.No. 74, Parekh Road, Thanjavur-431128",41,4.9,high,moderate,medium,cyber_crime|FIR_denial|bribery_corruption|cyber_bullying
Bath Inc Foundation,harsh86@basu.com,3628832585,"421, Baria Road, Kavali-901302",43,4.09,low,moderate,medium,cyber_bullying|property_dispute
Andra Group Foundation,aradhana05@das-bhatia.com,+911487883167,"11/440, Choudhary Zila, Pimpri-Chinchwad-319167",37,4.09,high,easy,medium,property_dispute
Sandal PLC Foundation,lipikamallick@basak.com,6653818319,"316, Trivedi Street, Sangli-Miraj & Kupwad-481009",49,4.42,medium,easy,high,FIR_denial|labor_rights_violation|domestic_violence|child_custody
Jain Ltd Foundation,wishisha@sinha.info,05137832396,"H.No. 10, Mane Chowk, Bokaro-428013",11,4.48,low,moderate,low,FIR_denial|consumer_rights|harassment|rent_eviction
Ramesh Group Foundation,ishanvimemon@sandal.com,06834749213,"86/491, Bahri Zila, Amroha-002202",18,3.44,high,easy,medium,rent_eviction|workplace_discrimination|labor_rights_violation|bribery_corruption
Buch Group Foundation,gdass@deol.org,05264877682,"765, Swamy Ganj, Sasaram 434900",11,4.27,medium,difficult,medium,child_custody|labor_rights_violation|dowry|cyber_bullying
Prashad-Dhar Foundation,lila25@aggarwal-srinivas.com,07612189654,"93, Patla Zila, Allahabad 000811",16,4.52,high,easy,high,FIR_denial|workplace_discrimination|labor_rights_violation|domestic_violence
Bhardwaj Group Foundation,khalsashivani@deep-lad.com,+915644579803,"H.No. 72, Borra Street, Purnia 874501",32,4.53,low,easy,low,dowry|consumer_rights
"Prabhakar, Andra and Iyer Foundation",dasguptayahvi@hans.com,01220046192,"057, Palan Ganj, Durgapur 698343",36,3.7,high,easy,high,harassment
Anne-Saraf Foundation,ayushmandhawan@walla.com,+918106068070,"67/36, Tara Street, Guntur-151085",18,3.77,low,easy,high,workplace_discrimination|dowry
Jhaveri-Narayanan Foundation,jeremiah67@saxena-patla.org,+916618412188,"H.No. 79, Varkey Circle, Kumbakonam 195427",49,4.13,high,easy,medium,dowry|labor_rights_violation|bribery_corruption
"Sahni, Pall and Taneja Foundation",goswamitarak@kannan.net,+919792130097,"H.No. 281, Kuruvilla Road, Chandigarh-215342",7,3.57,medium,difficult,medium,FIR_denial
Chaudhary Inc Foundation,rudra56@rana-lall.com,4707342736,"78/276, Dutta Path, Allahabad 812086",12,4.79,high,difficult,medium,cyber_bullying|rent_eviction|dowry|FIR_denial
Memon-Bobal Foundation,chatresh41@deol.com,5393804258,"01/99, Sachdeva, Adoni 869474",25,4.02,high,easy,low,bribery_corruption|cyber_crime
"Rama, Koshy and Gola Foundation",tramachandran@chandra.info,05271522776,"H.No. 84, Raval Circle, Arrah-025134",41,3.51,medium,difficult,low,child_custody|consumer_rights|FIR_denial|property_dispute
Ravel Inc Foundation,sheretriveni@rama.com,03290045644,"580, Luthra Zila, Raurkela Industrial Township-635561",37,4.57,low,easy,medium,property_dispute|cyber_bullying|rent_eviction|workplace_discrimination
Kamdar-Yogi Foundation,sarkarira@kannan.biz,2348979534,"112, Bhatt Street, Aurangabad-191168",49,3.81,low,easy,high,domestic_violence|cyber_crime
Brahmbhatt Group Foundation,dominic91@hans-venkataraman.com,0735723844,"H.No. 128, Rege Chowk, Akola 149380",37,3.37,low,difficult,high,cyber_bullying|domestic_violence|FIR_denial
"Master, Sabharwal and Jain Foundation",amody@natt-sangha.com,+919077975972,"16/377, Sandhu Marg, Chinsurah 360834",3,3.8,low,difficult,high,FIR_denial|labor_rights_violation
Bhavsar-Borde Foundation,dalbir90@vaidya-barad.org,2681915648,"H.No. 30, Bir Road, Jaunpur 742721",29,3.92,high,difficult,medium,property_dispute|bribery_corruption
Pillay-Bhatti Foundation,etachakrabarti@kuruvilla-mani.com,3271328946,"72/987, Lalla Nagar, Pali-792704",5,3.93,high,easy,low,harassment|property_dispute|rent_eviction
"Ganguly, Hora and Gaba Foundation",npillay@ramanathan.net,01889149973,"H.No. 046, Chaudhuri Path, Kumbakonam-360116",47,4.25,medium,easy,low,labor_rights_violation|rent_eviction|bribery_corruption|harassment
"Chokshi, Kadakia and Krishnan Foundation",janakitank@yadav.biz,03299952577,"841, Bora Circle, South Dumdum 851313",46,3.75,high,moderate,low,workplace_discrimination
"Balasubramanian, Thakur and Mangat Foundation",faqid26@hari-tata.net,1145214141,"H.No. 262, Rajagopal Zila, Gandhidham-134984",18,4.13,medium,difficult,low,rent_eviction|domestic_violence|bribery_corruption
"Krishna, Dixit and Bir Foundation",yashvivig@datta.info,02985322708,"58/88, Bali Street, Vasai-Virar 967269",9,4.83,high,difficult,low,dowry|property_dispute|FIR_denial
Das-Dave Foundation,wbassi@bawa.com,02213673467,"75, Lal Nagar, Bongaigaon 891484",38,3.28,low,moderate,high,dowry|property_dispute|workplace_discrimination|harassment
Das Ltd Foundation,ytalwar@barad.net,3573364006,"64, Samra, Bhiwandi 333644",31,3.67,high,difficult,low,workplace_discrimination|cyber_crime|bribery_corruption|child_custody
Ratti and Sons Foundation,patlaanirudh@kakar.com,01336997878,"H.No. 50, Oak Chowk, Ahmedabad 789432",21,4.26,low,easy,medium,child_custody|dowry
Nigam Ltd Foundation,jyotikala@rana-wagle.net,+913587778946,"957, Buch Chowk, Panchkula-527615",10,4.87,low,moderate,low,labor_rights_violation
Dalal PLC Foundation,lallamaanas@goswami-dixit.com,1400996345,"96/55, Mallick, Deoghar 312473",40,4.12,medium,easy,low,rent_eviction|harassment|domestic_violence
"Wason, Memon and Sha Foundation",osen@gera-samra.com,9271678316,"79, Nagarajan Zila, Tenali-686742",12,3.23,low,difficult,high,labor_rights_violation|cyber_bullying|harassment
"Kaul, Samra and Batta Foundation",anusha91@chadha.net,07304893951,"H.No. 30, Tata Road, Chittoor 090937",38,4.64,low,easy,high,rent_eviction|workplace_discrimination
Sani Ltd Foundation,osha94@mani.org,+914512875184,"485, Setty Path, Purnia 757489",19,4.51,low,difficult,low,consumer_rights|workplace_discrimination|child_custody|harassment
Basu-Zachariah Foundation,omani@vora.com,6222814205,"03, Dar Street, Muzaffarnagar-398808",16,4.83,medium,difficult,high,bribery_corruption|FIR_denial|workplace_discrimination
"Goel, Pingle and Rajagopalan Foundation",tthakkar@raghavan-chopra.com,00030645158,"57/592, Gera Marg, Ghaziabad 837009",44,3.4,high,moderate,high,property_dispute|harassment|FIR_denial|rent_eviction
"Chad, Agate and Choudhury Foundation",gchaudhry@khare.com,05228124459,"14, Patla Chowk, Siwan-233667",2,3.91,medium,moderate,medium,labor_rights_violation|dowry
Samra PLC Foundation,bhatunni@khatri.biz,+911985004135,"H.No. 747, Kumar Circle, Bettiah-436461",40,4.71,medium,easy,low,labor_rights_violation|workplace_discrimination
Shankar-Mital Foundation,naveenpatil@palla-dar.com,08618025372,"H.No. 469, Banerjee Road, Khora  166565",11,3.75,low,moderate,low,workplace_discrimination
Ratti-Tak Foundation,keyamand@misra.net,9413134441,"759, Sarin Street, Aurangabad 877479",2,3.25,medium,moderate,high,cyber_bullying|child_custody|domestic_violence
"Date, Mane and Dani Foundation",munshiudant@som.org,+913543129822,"18/26, Varma Nagar, Kharagpur-734924",45,4.41,medium,easy,low,FIR_denial|property_dispute
De-Srivastava Foundation,omadan@butala.com,0638057356,"H.No. 74, Patil Path, Hapur-877230",1,3.75,low,difficult,high,domestic_violence|cyber_crime|dowry
Lanka-Reddy Foundation,vmallick@shere.com,07460686256,"H.No. 45, Kibe, Maheshtala-632048",48,4.67,low,difficult,high,cyber_bullying|child_custody|dowry|cyber_crime
"Naik, Goyal and Date Foundation",teerthgopal@chaudhry-dua.com,09763627184,"97/28, Upadhyay Street, Anantapur-642414",8,3.49,low,easy,low,rent_eviction
Krishna Group Foundation,yauvaninagar@srinivasan.com,+916619829384,"H.No. 85, Bose Circle, Katni-297804",26,3.57,high,easy,high,cyber_crime|harassment|dowry|property_dispute
Naik PLC Foundation,gautami11@seth.com,+913310831330,"28/48, Madan Marg, Imphal-358948",15,4.09,high,easy,high,workplace_discrimination|child_custody
Tandon-Rajagopalan Foundation,gavin80@jani.biz,8791780403,"691, Subramanian Zila, Ahmedabad-607286",32,4.95,low,difficult,medium,labor_rights_violation|FIR_denial
Kant-Saraf Foundation,lsani@hans.com,04140309540,"H.No. 327, Vora Chowk, Sangli-Miraj & Kupwad-198672",40,4.19,medium,moderate,high,property_dispute|cyber_crime|domestic_violence
Prakash-Chacko Foundation,manandhingra@rastogi.com,8175025804,"73/07, Chokshi Street, Vijayawada-429484",10,3.76,high,difficult,low,domestic_violence|labor_rights_violation|property_dispute|bribery_corruption
Kalla-Madan Foundation,nitara69@natarajan.com,3754748459,"H.No. 810, Dhar, Kottayam 113176",11,3.74,high,moderate,low,dowry|consumer_rights|FIR_denial|child_custody
Pall and Sons Foundation,dominicmanda@sarkar-mahal.com,+916947563552,"86/744, Subramanian Marg, Narasaraopet-689929",1,3.33,medium,moderate,low,dowry|cyber_crime|bribery_corruption
"Date, Kota and Shan Foundation",udant38@oza.com,+915030091387,"699, Madan Circle, Dindigul 569367",24,4.0,low,difficult,medium,workplace_discrimination
Dutta PLC Foundation,adviknatarajan@rajagopalan-goda.com,6026399813,"18/444, Naik Nagar, Malda 507904",3,4.55,high,difficult,high,bribery_corruption|workplace_discrimination
Trivedi-Jaggi Foundation,udeep@bandi.biz,+911050076076,"H.No. 205, Dar Road, Sri Ganganagar 883956",11,3.63,medium,difficult,low,workplace_discrimination|cyber_crime
Wadhwa-Chacko Foundation,pbadami@mallick.com,0371079194,"H.No. 67, Bhardwaj Road, Jehanabad 109550",43,4.66,high,easy,low,domestic_violence|consumer_rights
Bhattacharyya-Karnik Foundation,saibandi@wali-grewal.com,+910995117524,"28, Biswas Circle, Allahabad-424291",49,3.83,low,difficult,high,cyber_crime
"Bali, Bahl and Chandran Foundation",rachit62@bhandari.com,2776471705,"65/80, Khare Nagar, Raichur-510539",22,3.64,low,moderate,low,labor_rights_violation
Chahal Group Foundation,tmanda@sahota-jain.biz,3343820880,"H.No. 090, Lal Street, Kozhikode-469397",50,3.55,medium,easy,low,property_dispute|labor_rights_violation
"Prabhu, Gulati and Hans Foundation",wazir56@sama.com,2615269954,"590, Apte, Salem-971528",24,3.1,high,difficult,medium,bribery_corruption|domestic_violence|child_custody
Soman-Prashad Foundation,yochana15@raja.biz,01288838002,"78, Dewan Nagar, Visakhapatnam 161273",16,3.17,low,difficult,high,labor_rights_violation|bribery_corruption|child_custody|FIR_denial
"Rao, Chacko and Tripathi Foundation",samar41@nadig-chokshi.com,07436305701,"93, Brahmbhatt Road, Haridwar 701375",16,4.15,low,difficult,low,cyber_crime|dowry
"Salvi, Warrior and Vyas Foundation",qmadan@agate.info,5204625140,"35/00, Gill Marg, Lucknow-781848",5,4.43,high,difficult,medium,bribery_corruption|cyber_crime
"Dara, Shankar and Tella Foundation",kalarajeshri@dara.net,+914281707420,"H.No. 86, Rout Circle, Serampore-484911",6,3.72,low,difficult,low,cyber_bullying|dowry|property_dispute|consumer_rights
"Mohan, Hora and Goswami Foundation",madhav95@dara-dutta.com,03014312135,"H.No. 35, Virk Road, Warangal-929263",12,4.82,low,easy,high,cyber_bullying
"Gaba, Palan and Memon Foundation",rayaan54@sagar.biz,05077879341,"26, Garg, Medininagar-275597",24,4.1,low,difficult,high,FIR_denial|property_dispute|harassment|domestic_violence
Dass Group Foundation,wasonkabir@narain.biz,02568687237,"H.No. 86, Bhasin Circle, Rohtak-439770",26,3.23,low,easy,high,workplace_discrimination
"Kunda, Sidhu and Srivastava Foundation",rrajagopalan@morar-bassi.com,+915283580710,"68/701, Chaudhari Chowk, Saharanpur 995601",11,3.36,medium,easy,low,rent_eviction|domestic_violence
Borde Inc Foundation,lucky15@krishna.com,+917881130353,"25, Bhakta Circle, Gulbarga-114840",16,4.7,medium,moderate,high,bribery_corruption|cyber_bullying|property_dispute|domestic_violence
Anand PLC Foundation,januja29@sundaram.com,3139083544,"83/440, Agate Marg, Farrukhabad 351295",29,4.09,low,easy,high,harassment|consumer_rights|rent_eviction
"Kapur, Sarma and Chandran Foundation",kainagi@sastry-ahuja.biz,+915873597142,"H.No. 441, Wali Zila, Kharagpur 844733",1,4.94,low,moderate,low,labor_rights_violation|dowry|cyber_bullying
"Saini, Madan and Munshi Foundation",srana@halder-bir.biz,8143238314,"11/018, Gandhi Ganj, Chandrapur 484888",35,4.11,low,easy,low,harassment|property_dispute
Rajan-Om Foundation,charvi28@chatterjee.com,03806030683,"H.No. 68, Khatri Path, Bokaro-608506",1,4.02,low,moderate,low,child_custody|bribery_corruption|domestic_violence|FIR_denial
Shan and Sons Foundation,krishna45@natarajan.com,05827225679,"72/691, Khosla Circle, Rajkot 058895",2,4.28,low,moderate,medium,harassment
Kata-Chacko Foundation,faris67@dua.com,+912705204098,"111, Wagle Nagar, Malegaon 973981",1,4.58,medium,difficult,high,labor_rights_violation
Nath-Konda Foundation,banikarjun@master.net,3623495742,"H.No. 82, Tank, New Delhi 951393",43,4.32,low,easy,high,cyber_bullying|harassment|labor_rights_violation|property_dispute
Peri-Dalal Foundation,neelimajoshi@sarna-kurian.info,05437866918,"34, Bora Ganj, Jammu-785332",39,4.07,low,difficult,medium,cyber_bullying|child_custody|rent_eviction
"Kant, Naik and Sood Foundation",gaurangi88@gala.com,02698274696,"H.No. 40, Majumdar Road, Singrauli 018670",18,3.6,low,easy,medium,cyber_bullying|child_custody
Buch-Johal Foundation,eshanagade@trivedi-chauhan.net,1027335422,"H.No. 45, Chaudhry Nagar, Korba-028632",41,3.2,high,difficult,high,domestic_violence
Deshpande-Gupta Foundation,warjas92@tandon-deo.com,07660590586,"H.No. 76, Mukhopadhyay Circle, Visakhapatnam-441903",27,3.54,high,difficult,medium,rent_eviction
"Rege, Dewan and Merchant Foundation",girik13@banik-bhat.com,6485694751,"H.No. 104, Tripathi, Belgaum 344280",36,3.62,high,difficult,high,dowry
Nagar Ltd Foundation,nirjashroff@bhagat.com,01602131453,"99, Gill Nagar, Vellore-162695",19,4.58,high,easy,high,dowry|labor_rights_violation|rent_eviction
Natt-Krish Foundation,banerjeenathaniel@jain.info,+918290060152,"40/95, Mammen, Amroha 068847",23,3.04,medium,moderate,medium,domestic_violence|rent_eviction
"Hora, Grewal and Dash Foundation",fvora@narula.com,07495989071,"72/061, Rajagopal Chowk, Mau-922847",44,3.3,high,moderate,high,domestic_violence|FIR_denial|labor_rights_violation
"Raghavan, Dhillon and Kalita Foundation",hemangbarad@modi-ravi.com,01355327872,"H.No. 86, Barman Street, Chinsurah-026011",6,4.26,medium,easy,low,child_custody
Balan-Khare Foundation,chasmumchandran@bawa.com,2876499537,"30/281, Tiwari Marg, Aizawl-850478",13,4.73,low,moderate,medium,workplace_discrimination|bribery_corruption|dowry|rent_eviction
"Bora, Borra and Prakash Foundation",hoak@krish-koshy.com,06575282757,"110, Hayer Path, Karawal Nagar 138085",40,3.46,high,easy,high,labor_rights_violation|dowry|workplace_discrimination|rent_eviction
"Wable, Gole and Sandal Foundation",rajjack@dhaliwal.com,8477477716,"79, Dutt Marg, Morena 270685",12,4.57,high,easy,low,cyber_crime|domestic_violence|child_custody|FIR_denial
Dutt and Sons Foundation,lokeradhika@aggarwal-dixit.org,+913151110035,"H.No. 833, Joshi Circle, Nanded 606315",19,4.12,low,moderate,low,consumer_rights|cyber_crime|domestic_violence|FIR_denial
Sarma Group Foundation,dattaeta@de.net,8894105784,"09/71, Seshadri Circle, Mau 996800",42,3.52,high,moderate,low,labor_rights_violation|bribery_corruption|workplace_discrimination|dowry
Swamy and Sons Foundation,mahikadutta@anand.com,+917527376257,"H.No. 655, Krishna Road, Thoothukudi 917083",44,4.71,high,difficult,low,workplace_discrimination|rent_eviction
Prabhu-Bedi Foundation,bhavya45@mane.com,4162218296,"H.No. 423, Lad Chowk, Visakhapatnam 670895",35,4.96,high,easy,high,harassment
Iyer and Sons Foundation,wasonfitan@sur.com,+916571187718,"H.No. 58, Chauhan Marg, Gangtok 039481",50,4.84,low,easy,low,cyber_crime|property_dispute
"Luthra, Kibe and Manne Foundation",wridesh58@patla.com,1871791517,"H.No. 55, Kata Street, Buxar 709753",43,4.2,low,difficult,medium,harassment|rent_eviction
Devan and Sons Foundation,amol49@sinha-karan.com,3833503165,"H.No. 312, Divan Marg, Ramgarh 372364",23,3.61,low,difficult,medium,workplace_discrimination|dowry|bribery_corruption|labor_rights_violation
Naik-Hans Foundation,nachiketparikh@hora-golla.net,+911717389652,"17, Pandya Street, Bhagalpur-891758",1,4.46,low,difficult,low,domestic_violence|workplace_discrimination|labor_rights_violation|bribery_corruption
"Chhabra, Srivastava and Kumar Foundation",devijackson@jhaveri.com,7913945041,"H.No. 83, Thakur Ganj, Ahmednagar 552825",8,4.74,medium,easy,medium,cyber_bullying|cyber_crime
Sama-Venkatesh Foundation,ekani46@dash-dash.com,03569441775,"13/584, Bala Ganj, Burhanpur-455352",49,4.96,medium,moderate,low,FIR_denial
Dey LLC Foundation,ishwarsanghvi@menon.com,00193772700,"H.No. 579, Ghosh, Aurangabad 110748",22,3.05,high,moderate,medium,child_custody|cyber_crime
"Mahajan, Dhawan and Sule Foundation",krishlopa@chopra-sahni.org,+915849103863,"H.No. 05, Bawa Circle, Erode 550019",24,3.09,low,difficult,low,child_custody|bribery_corruption
Karpe-Lala Foundation,bprabhakar@anand.net,01117971432,"71, Tank Chowk, Machilipatnam 832557",5,4.41,low,difficult,high,consumer_rights|harassment
"Ghosh, Pall and Chaudhari Foundation",ugandhi@bose-brar.com,9372214950,"48, Vohra Ganj, North Dumdum-112510",42,4.01,low,difficult,medium,harassment
"Sathe, Bhatnagar and Bose Foundation",murthybalvan@sehgal.com,7980281605,"02/246, Rajagopalan Circle, Anantapur-353212",1,3.41,low,moderate,low,domestic_violence|consumer_rights
Sarma-Dhillon Foundation,masonchaudry@natt-ramachandran.com,3296547500,"58/33, Varty Ganj, Asansol 551366",9,4.46,high,difficult,medium,labor_rights_violation|cyber_bullying
Bava LLC Foundation,dalajaloke@wadhwa.net,7867743539,"H.No. 13, Hegde Chowk, Morena-078546",31,3.08,low,moderate,low,rent_eviction|workplace_discrimination|labor_rights_violation|dowry
Sehgal-Chopra Foundation,xavierbhalla@raj-rajan.com,06567442420,"H.No. 882, Singhal Ganj, Bathinda 071761",24,3.31,high,moderate,low,cyber_crime|harassment
"Bora, Mitter and Apte Foundation",pthakkar@naidu-gala.org,3949622082,"92, Wali, Phusro 029810",23,4.09,high,easy,medium,bribery_corruption
"Kadakia, Bakshi and Bora Foundation",dmerchant@deol-sahota.biz,+914756736279,"44/38, Doctor Chowk, Kozhikode-749641",38,3.72,low,difficult,low,dowry|labor_rights_violation|bribery_corruption
Doctor Group Foundation,yatan62@mandal-vora.com,+911187304569,"633, Nayar Chowk, Orai-280142",46,4.85,high,difficult,high,bribery_corruption|harassment
Kulkarni-Dugar Foundation,faqid14@badami.com,9006301997,"H.No. 84, Venkatesh Ganj, Kumbakonam 619085",20,4.77,high,moderate,medium,FIR_denial|labor_rights_violation|property_dispute|cyber_bullying
"Rastogi, Taneja and Kala Foundation",wbava@shenoy-hayer.info,9247891323,"H.No. 172, Narula Marg, Akola-507003",15,4.67,medium,easy,low,FIR_denial
"Shere, Sharaf and Panchal Foundation",aditya15@maharaj.com,+913351664970,"H.No. 11, Sharma, Eluru 236350",7,3.69,medium,difficult,medium,harassment|FIR_denial|rent_eviction|child_custody
Ben Ltd Foundation,tkhanna@mital.biz,7647900311,"44/30, Oza Road, Ramgarh 858833",25,3.0,low,moderate,medium,cyber_crime|rent_eviction|property_dispute|labor_rights_violation
Swamy-Sood Foundation,ugrover@sur.com,0811021576,"H.No. 06, Sawhney Nagar, Mira-Bhayandar 490387",47,4.44,high,difficult,medium,bribery_corruption|FIR_denial|cyber_crime|cyber_bullying
Shukla-Shetty Foundation,bhardwajumang@cheema.com,5677808181,"H.No. 12, Kapoor Marg, Kavali 745251",49,3.26,high,moderate,medium,bribery_corruption|domestic_violence
Lad-Nori Foundation,chatresh85@chanda-anand.com,2432306145,"79/06, Sha Chowk, Anantapur-695103",18,4.88,low,difficult,medium,cyber_crime|workplace_discrimination|dowry
"Rai, Natt and Varkey Foundation",varmakamala@rai.com,08249241721,"H.No. 565, Jain Zila, Guntakal 774205",49,3.99,high,difficult,high,property_dispute
Tiwari and Sons Foundation,ekajavaidya@kala.net,+912937195338,"H.No. 40, Kata Circle, Ambala-285989",23,4.27,high,easy,high,dowry|property_dispute|bribery_corruption
"Sood, Amble and Gokhale Foundation",harita86@arya.com,+915734308406,"92/911, Sankar Nagar, Nagaon 749234",34,3.95,high,easy,high,dowry|consumer_rights
"Tella, Pandya and Vyas Foundation",jayaramanqabil@biswas.com,+914474538835,"H.No. 07, Varkey Road, Uluberia-694494",29,4.37,high,difficult,medium,child_custody|domestic_violence
"Anand, Amble and Srinivas Foundation",pvasa@khalsa-ratti.com,08973527031,"16/217, Bandi Nagar, Kottayam 464953",36,3.33,low,difficult,high,property_dispute|consumer_rights
Kumer-Dey Foundation,tdugar@pillay-gulati.net,05547532303,"43, Brar, Kumbakonam 170891",2,4.71,low,difficult,low,bribery_corruption|FIR_denial
"Om, Toor and Dixit Foundation",ksharma@bala.info,01222542002,"32, Bhardwaj Nagar, Chandigarh-400994",42,4.21,low,moderate,high,FIR_denial|cyber_bullying|harassment|labor_rights_violation
Maharaj-Grewal Foundation,gokhaletristan@bains-choudhary.info,9378730040,"H.No. 652, Batta Marg, Gangtok-738381",7,4.36,low,moderate,high,bribery_corruption
Kanda LLC Foundation,leelaaurora@butala.biz,5058028867,"H.No. 74, Thaker Zila, Amaravati-068713",11,4.22,high,difficult,high,child_custody|cyber_crime|labor_rights_violation
Chaudhuri-More Foundation,vgrewal@zachariah.com,07983633162,"26/43, Khurana Circle, Sirsa 656424",50,3.73,high,difficult,medium,FIR_denial|labor_rights_violation|harassment|consumer_rights
Mangal Inc Foundation,aarushraman@bansal.com,+913186752686,"57/56, Sundaram Circle, Sambhal 639818",27,4.7,medium,easy,medium,FIR_denial
